2020-05-07 17:02:19 pid:6327 Workerman[index.php] start in DEBUG mode
2020-05-07 17:02:22 pid:6327 worker[none:6559] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6560] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6561] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6562] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6563] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6564] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6565] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6566] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6567] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6568] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6569] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6570] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6571] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6572] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6573] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6574] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6575] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6576] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6577] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6578] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6579] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6580] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6581] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6582] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6583] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6584] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6585] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6586] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6587] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6588] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6589] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6590] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6591] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6592] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6593] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6594] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6595] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6596] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6597] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6598] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6599] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6600] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6601] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6602] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6603] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6604] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6605] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6606] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6607] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6608] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6609] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6610] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6611] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6612] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6613] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6614] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6615] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6616] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6617] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6618] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6619] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6620] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6621] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6622] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6623] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6624] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6625] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6626] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6627] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6628] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6629] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6630] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6631] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6632] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6633] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6634] exit with status 65280
2020-05-07 17:02:22 pid:6327 worker[none:6635] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6636] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6637] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6638] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6639] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6640] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6641] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6642] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6643] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6645] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6646] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6647] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6648] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6649] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6650] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6651] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6652] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6653] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6654] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6655] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6657] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6658] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6659] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6660] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6661] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6662] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6663] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6664] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6665] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6666] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6667] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6668] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6669] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6670] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6671] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6672] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6673] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6674] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6675] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6676] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6677] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6678] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6679] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6680] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6681] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6682] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6683] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6684] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6685] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6686] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6687] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6688] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6689] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6690] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6691] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6692] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6693] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6694] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6695] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6696] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6697] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6698] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6699] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6700] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6701] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6702] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6703] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6704] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6705] exit with status 65280
